t,E0,E1,E2,E3,E4,E5,E6,E7
0.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
3.344481605351170422e-02,-2.989967228569737401e+00,-2.989967228569326618e+00,-9.976018171036036275e-01,-9.976018171031991733e-01,-9.966555183950489560e-01,-9.966555183946438357e-01,-9.957098930714814999e-01,-9.957098930710770457e-01
6.688963210702340845e-02,-2.979935812982971388e+00,-2.979935812976432175e+00,-9.952043107182764192e-01,-9.952043107117402032e-01,-9.933110367958299936e-01,-9.933110367892939996e-01,-9.914204654753968615e-01,-9.914204654688606455e-01
1.003344481605351057e-01,-2.969905766989789697e+00,-2.969905766956364879e+00,-9.928074862733622385e-01,-9.928074862399360878e-01,-9.899665552173686489e-01,-9.899665551839424982e-01,-9.871317255324778550e-01,-9.871317254990517043e-01
1.337792642140468169e-01,-2.959877104532568914e+00,-2.959877104425855165e+00,-9.904113492552785170e-01,-9.904113491485576626e-01,-9.866220736853124063e-01,-9.866220735785909968e-01,-9.828436816986918512e-01,-9.828436815919708858e-01
1.672240802675585281e-01,-2.949849839749455693e+00,-2.949849839486244907e+00,-9.880159052082423399e-01,-9.880159049450266684e-01,-9.832775922364558330e-01,-9.832775919732394954e-01,-9.785563425679645322e-01,-9.785563423047488607e-01
2.006688963210702115e-01,-2.939823986977902592e+00,-2.939823986426497449e+00,-9.856211597350221787e-01,-9.856211591836133712e-01,-9.799331109192974676e-01,-9.799331103678891042e-01,-9.742697168749846481e-01,-9.742697163235759517e-01
2.341137123745819226e-01,-2.929799560758312271e+00,-2.929799559726236069e+00,-9.832271184976948408e-01,-9.832271174656170842e-01,-9.765886297946160255e-01,-9.765886287625380469e-01,-9.699838134980705018e-01,-9.699838124659927452e-01
2.675585284280936338e-01,-2.919776575837713661e+00,-2.919776574058838836e+00,-9.808337872184147432e-01,-9.808337854395347000e-01,-9.732441489360669218e-01,-9.732441471571859903e-01,-9.656986414621042680e-01,-9.656986396832243358e-01
3.010033444816053172e-01,-2.909755047173583353e+00,-2.909755044294610293e+00,-9.784411716801953984e-01,-9.784411688012190078e-01,-9.698996684308121008e-01,-9.698996655518354881e-01,-9.614142099415443621e-01,-9.614142070625678604e-01
