t,FQ
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.020495127276893515e-07
1.000000000000000056e-01,4.384799913942501115e-06
1.499999999999999944e-01,2.135099633921606685e-05
2.000000000000000111e-01,6.576737096720801107e-05
2.500000000000000000e-01,1.570984826807865270e-04
2.999999999999999889e-01,3.189713820438697177e-04
3.500000000000000333e-01,5.783117929154402018e-04
4.000000000000000222e-01,9.643962637679897231e-04
4.500000000000000111e-01,1.507866172188313805e-03
5.000000000000000000e-01,2.239748651896244624e-03
5.500000000000000444e-01,3.190526641766782464e-03
5.999999999999999778e-01,4.389295603748574227e-03
6.500000000000000222e-01,5.863038357928310358e-03
7.000000000000000666e-01,7.636042317187208793e-03
7.500000000000000000e-01,9.729475570580370727e-03
8.000000000000000444e-01,1.216113016383894678e-02
8.499999999999999778e-01,1.494533293946937076e-02
9.000000000000000222e-01,1.809301677644069642e-02
9.500000000000000666e-01,2.161193831278985025e-02
1.000000000000000000e+00,2.550702249033851010e-02
1.050000000000000044e+00,2.978080971400848959e-02
1.100000000000000089e+00,3.443397818913009750e-02
1.150000000000000133e+00,3.946591214418854882e-02
1.199999999999999956e+00,4.487528615726415343e-02
1.250000000000000000e+00,5.066063661875887247e-02
1.300000000000000044e+00,5.682089336774101551e-02
1.350000000000000089e+00,6.335584757978966752e-02
1.400000000000000133e+00,7.026653587395820244e-02
1.449999999999999956e+00,7.755552513672611670e-02
1.500000000000000000e+00,8.522708751094938695e-02
1.550000000000000044e+00,9.328726014507884856e-02
1.600000000000000089e+00,1.017437894264936749e-01
1.650000000000000133e+00,1.106059643319888403e-01
1.699999999999999956e+00,1.198843480395245520e-01
1.750000000000000000e+00,1.295904209069351498e-01
1.800000000000000044e+00,1.397361512153012242e-01
1.850000000000000089e+00,1.503335126105346253e-01
1.900000000000000133e+00,1.613939689040951864e-01
1.949999999999999956e+00,1.729279477938854004e-01
2.000000000000000000e+00,1.849443251520754006e-01
2.049999999999999822e+00,1.974499408392688948e-01
2.100000000000000089e+00,2.104491656100796193e-01
2.149999999999999911e+00,2.239435366601718880e-01
2.200000000000000178e+00,2.379314768309170325e-01
2.250000000000000000e+00,2.524081095474583480e-01
2.300000000000000266e+00,2.673651783374172974e-01
2.350000000000000089e+00,2.827910763803378469e-01
2.399999999999999911e+00,2.986709880891506574e-01
2.450000000000000178e+00,3.149871413350011640e-01
2.500000000000000000e+00,3.317191656970073232e-01
2.550000000000000266e+00,3.488445491384117858e-01
2.600000000000000089e+00,3.663391828561661789e-01
2.649999999999999911e+00,3.841779817835255795e-01
2.700000000000000178e+00,4.023355663905620050e-01
2.750000000000000000e+00,4.207869900559925158e-01
2.800000000000000266e+00,4.395084953903983793e-01
2.850000000000000089e+00,4.584782824763671827e-01
2.899999999999999911e+00,4.776772720423581031e-01
2.950000000000000178e+00,4.970898470791015877e-01
3.000000000000000000e+00,5.167045573043871354e-01
3.050000000000000266e+00,5.365147721396225089e-01
3.100000000000000089e+00,5.565192694279456065e-01
3.149999999999999911e+00,5.767227489421822284e-01
3.200000000000000178e+00,5.971362617415812979e-01
3.250000000000000000e+00,6.177775485776227926e-01
3.300000000000000266e+00,6.386712827602728515e-01
3.350000000000000089e+00,6.598492151178787513e-01
